trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361465}",30,22,12.630017276269488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",30,15,-12.742008698996422,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.1901389801015205}",25,0,33.01057389692066,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.1999999999999997, 'e': 0.18637397603940997}",20,1,-35.96839272988684,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",20,13,14.506570285312323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149322}",25,0,-36.69239745146522,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
88,False,"{'a': 0.1999999999999997, 'e': 0.17552040061699686}",25,8,19.970673081774635,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",20,11,14.002792084974278,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1999999999999997, 'e': 0.1686381472685955}",20,9,10.309205341148198,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158653}",20,16,9.310229380086886,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388075}",20,6,24.94784231120459,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1999999999999997, 'e': 0.15881742610692068}",20,13,14.93521884944921,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",25,7,18.569865970308744,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",20,10,-22.800903884060833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",30,0,20.963024769718086,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",30,4,45.747844907495434,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770293}",25,14,8.422254362450266,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",20,12,-8.377457654849387,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",30,17,23.103153675349947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",20,0,7.933065345542623,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012172}",20,12,16.94983589592131,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
